Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
46;ourVehicle18;67.53;30.95;15.00;287.24
46;ourVehicle22;17.65;38.99;9.76;103.28
46;ourVehicle23;79.80;26.90;7.75;289.12
46;ourVehicle29;154.41;85.41;13.14;291.55
46;ourVehicle3;72.65;107.20;2.45;103.40
46;ourVehicle30;55.62;29.01;0.00;98.38
46;ourVehicle31;130.25;7.34;7.67;292.34
46;ourVehicle34;144.72;5.54;7.91;204.93
46;ourVehicle38;48.20;30.11;0.03;106.70
46;ourVehicle4;47.14;111.86;8.68;99.64
46;ourVehicle47;85.54;107.96;3.12;284.46
46;ourVehicle48;162.13;35.40;13.89;24.93
46;ourVehicle52;61.89;45.35;0.00;190.30
46;ourVehicle65;88.23;20.57;10.35;109.40
46;ourVehicle66;62.48;31.83;6.82;279.82
46;ourVehicle7;43.07;115.80;9.41;279.64
46;ourVehicle78;153.20;23.78;10.74;204.93
46;ourVehicle81;64.75;61.11;1.21;190.78
46;ourVehicle83;96.74;105.07;5.06;286.86
46;ourVehicle86;178.42;70.46;15.00;24.93
46;ourVehicle9;77.06;97.83;8.70;14.24
46;veh0;75.13;102.58;5.37;212.32
46;veh1;145.86;85.35;7.56;111.55
46;veh2;60.55;37.97;0.00;190.30
46;veh3;125.05;6.02;8.48;112.33
47;ourVehicle1;66.68;69.91;4.56;194.21
47;ourVehicle10;3.60;42.31;6.45;109.37
47;ourVehicle12;111.41;97.26;13.75;106.99
47;ourVehicle13;63.23;52.74;0.02;190.30
47;ourVehicle15;108.84;101.39;8.16;286.99
47;ourVehicle17;40.78;32.34;3.13;106.84
47;ourVehicle22;26.68;36.61;9.34;106.14
47;ourVehicle23;72.45;29.42;7.77;288.89
47;ourVehicle29;140.70;90.82;14.75;291.55
47;ourVehicle3;72.65;107.20;0.00;103.40
47;ourVehicle30;55.62;29.01;0.00;98.38
47;ourVehicle31;120.76;11.24;10.26;292.34
47;ourVehicle34;140.26;3.23;6.35;254.41
47;ourVehicle38;48.20;30.11;0.00;106.70
47;ourVehicle4;56.37;110.29;9.37;99.64
47;ourVehicle47;81.13;108.90;4.51;282.32
47;ourVehicle48;168.00;48.04;13.94;24.93
47;ourVehicle52;61.89;45.35;0.00;190.30
47;ourVehicle6;66.58;27.89;15.00;99.39
47;ourVehicle65;99.87;16.13;12.46;110.86
47;ourVehicle66;54.06;32.48;8.45;275.48
47;ourVehicle7;36.27;114.91;7.97;250.23
47;ourVehicle78;149.37;15.54;9.09;204.93
47;ourVehicle81;64.64;60.45;0.66;190.30
47;ourVehicle83;93.09;106.01;3.77;284.95
47;ourVehicle86;169.99;79.26;14.36;291.55
47;ourVehicle9;77.31;101.87;4.20;5.39
47;veh0;73.02;94.96;7.92;194.21
47;veh1;152.97;82.54;7.64;111.55
47;veh2;60.55;37.97;0.00;190.30
47;veh3;133.15;2.69;8.76;112.33
48;ourVehicle1;66.17;67.91;2.07;194.21
48;ourVehicle10;11.62;40.42;8.24;103.28
48;ourVehicle12;125.31;93.01;14.54;106.99
48;ourVehicle13;63.23;52.74;0.01;190.30
48;ourVehicle15;103.26;103.09;5.84;286.99
48;ourVehicle17;40.90;32.30;0.13;106.84
48;ourVehicle22;32.24;34.93;5.80;106.84
48;ourVehicle23;68.73;30.58;3.90;287.42
48;ourVehicle29;128.50;95.38;13.03;288.74
48;ourVehicle3;73.91;106.15;1.65;113.25
48;ourVehicle30;55.62;29.01;0.00;98.38
48;ourVehicle31;108.92;16.10;12.80;292.34
48;ourVehicle34;132.54;6.40;8.35;292.34
48;ourVehicle38;48.20;30.11;0.00;106.70
48;ourVehicle4;62.88;109.19;6.60;99.64
48;ourVehicle47;74.22;110.37;7.07;282.02
48;ourVehicle48;173.79;60.50;13.74;24.93
48;ourVehicle52;61.89;45.35;0.00;190.30
48;ourVehicle6;79.99;23.45;14.13;109.10
48;ourVehicle65;113.66;10.69;14.82;112.33
48;ourVehicle66;44.44;34.59;9.88;286.13
48;ourVehicle7;42.63;112.63;7.13;99.64
48;ourVehicle78;146.14;8.60;7.65;204.93
48;ourVehicle81;64.60;60.24;0.22;190.30
48;ourVehicle83;89.74;106.88;3.46;284.46
48;ourVehicle86;155.28;85.07;15.82;291.55
48;ourVehicle9;77.31;101.87;0.00;5.39
48;veh0;70.99;86.94;8.27;194.21
48;veh1;159.69;79.88;7.23;111.55
48;veh2;60.55;37.97;0.00;190.30
48;veh3;140.08;-0.16;7.49;112.33
49;ourVehicle1;66.11;67.69;0.22;194.21
49;ourVehicle10;20.87;38.23;9.51;103.28
49;ourVehicle12;138.12;88.40;13.62;111.55
49;ourVehicle13;63.23;52.73;0.00;190.30
49;ourVehicle15;98.78;104.46;4.68;286.99
49;ourVehicle17;40.96;32.29;0.06;106.84
49;ourVehicle22;33.49;34.55;1.30;106.84
49;ourVehicle23;67.84;30.85;0.93;287.24
49;ourVehicle29;118.71;98.37;10.24;286.99
49;ourVehicle3;74.78;102.58;3.85;158.36
49;ourVehicle30;55.62;29.01;0.00;98.38
49;ourVehicle31;95.56;21.19;14.29;290.84
49;ourVehicle34;123.51;10.11;9.76;292.34
49;ourVehicle38;48.20;30.11;0.00;106.70
49;ourVehicle4;65.73;108.70;2.89;99.64
49;ourVehicle47;65.58;111.98;8.80;279.64
49;ourVehicle52;61.89;45.35;0.00;190.30
49;ourVehicle6;93.05;18.73;13.89;110.86
49;ourVehicle65;124.93;6.06;12.19;112.33
49;ourVehicle66;32.75;38.12;12.21;286.84
49;ourVehicle7;50.85;111.23;8.34;99.64
49;ourVehicle78;141.80;2.61;8.07;223.64
49;ourVehicle81;64.58;60.13;0.11;190.30
49;ourVehicle83;84.91;108.04;4.97;283.60
49;ourVehicle86;141.99;90.31;14.28;291.55
49;ourVehicle9;77.31;101.87;0.00;5.39
49;veh0;69.08;79.42;7.75;194.21
49;veh1;166.21;77.31;7.01;111.55
